street,streetid
18810 Densmore Ave N,0
709 W Blaine St,1
26206-26214 143rd Ave SE,2
857 170th Pl NE,3
9105 170th Ave NE,4
522 NE 88th St,5
2616 174th Ave NE,6
23762 SE 253rd Pl,7
46611-46625 SE 129th St,8
6811 55th Ave NE,9
Burke-Gilman Trail,10
3838-4098 44th Ave NE,11
1833 220th Pl NE,12
2504 SW Portland Ct,13
3534 46th Ave NE,14
14034 SE 201st St,15
15424 SE 9th St,16
11224 SE 306th Pl,17
1605 S 245th Pl,18
12425 415th Ave SE,19
3225 NE 92nd St,20
3922 154th Ave SE,21
3140 Franklin Ave E,22
10212 NE 156th Pl,23
2021 NE 100th St,24
27736 23rd Avenue South,25
8436-8438 41st Ave SW,26
1036 4th St,27
23525 SE 32nd Way,28
3314 NW 75th St,29
14104 119th Ave NE,30
20120 137th Ave NE,31
7201-7399 55th Ave NE,32
17052 4th Ave NE,33
5172-5198 Heather Ave SE,34
30822 36th Ct SW,35
4801-4899 6th Ave NW,36
23017 SE 281st Ct,37
17825 4th Ave SW,38
3628 59th Ave SW,39
4460 332nd Ave SE,40
2019 Aberdeen Pl SE,41
121 NE 147th St,42
4458 51st Ave SW,43
7542 21st Ave SW,44
15804 198th Pl NE,45
26069 SE 154th St,46
4314 NE 6th Pl,47
2640 NW 56th St,48
15712 NE 136th Pl,49
26429 SE 154th Pl,50
3923 229th Pl SE,51
6222 30th Ave NE,52
32418 NE 50th St,53
19334 89th Ave NE,54
4071 156th Ave SE,55
36850 204th Ave SE,56
7425 Snowberry Ave SE,57
3400 21st Ave W,58
5944-6082 Delridge Way SW,59
35229 SE Terrace St,60
13800 453rd Ave SE,61
9927 174th Ave SE,62
29734 215th Terrace SE,63
5608 NE 5th Cir,64
8053 29th Ave NW,65
13256 242nd Pl SE,66
7528 N Fork Rd SE,67
13134 234th Ct NE,68
13420 SE 182nd St,69
925 48th Ct,70
151 Euclid Ave,71
205-206 Euclid Ave,72
22314 NE 11th Pl,73
13615 NE 100th St,74
1411 N 48th St,75
120 31st Ave E,76
23140 NE 14th Ct,77
12645 SE 27th St,78
3187 NE Larkspur Ln,79
18915 SE 42nd Pl,80
1765 267th Ct SE,81
8624 Island Dr S,82
24502 SE Mirrormont Dr,83
14319 85th Pl NE,84
2120 NE 168th St,85
209 30th Ave E,86
10512 128th Ave NE,87
9126 45th Ave SW,88
20220 8th Ave S,89
11821 NE 48th Pl,90
13026 10th Ave NW,91
125 29th Ave,92
2171 Boyer Ave E,93
3434 33rd Ave W,94
5211 116th Pl SE,95
3503 NE 44th St,96
114 SW 292nd St,97
8536 Interlake Ave N,98
3930 NE Belvoir Pl,99
17132 SE 100th St,100
10204 168th Pl NE,101
218 109th Ave SE,102
12621 SE 300th Way,103
14013 Ashworth Ave N,104
34010 SE Sorenson St,105
2506 166th Ave NE,106
8814 218th Ave NE,107
4515 SW Trenton St,108
4924 SW 314th Pl,109
4312 Woodlawn Ave N,110
22912 SE 268th Pl,111
27106 NE Miller St,112
13129 195th Pl SE,113
1014 W Garfield St,114
14150 75th Ave NE,115
2601 21st Ave S,116
12807 7th Ave S,117
4529 135th Ave SE,118
1804 E Beaver Lake Dr SE,119
1701 N 204th Pl,120
8681 Beacon Ave S,121
26408 NE 70th St,122
17717 113th Pl SE,123
8040 39th Ave NE,124
901 N 97th St,125
519 N 104th St,126
14017 Roslyn Pl N,127
30001-30021 55th Pl S,128
16026 SE 137th Terrace,129
22721-22727 SE 27th St,130
18027 SE 128th St,131
20927-20999 2nd Ave S,132
1857 41st Ave E,133
353 NW 88th St,134
18427 NE 26th Way,135
2803 NE 62nd St,136
13313 127th Pl NE,137
4532 185th Ave SE,138
9288-9358 Holman Rd NW,139
4509 185th Ave SE,140
1318 29th Ave S,141
12001 173rd Pl NE,142
842 Summerhill Ridge Dr NW,143
14359 19th Ave NE,144
935 4th Ave NE,145
7809 12th Ave NE,146
2027 Ferndale Ave NE,147
792 Summerhill Ridge Dr NW,148
1273 NE Hickory Ln,149
17122 NE 117th St,150
10601 NE 138th Pl,151
412 NW 70th St,152
11051 35th Ave NE,153
18114 NE 136th St,154
25305 151st Pl SE,155
6422 Marshall Ave SW,156
310 NW 72nd St,157
9712 4th Ave NW,158
9020-9024 11th Ave NW,159
1629 S 261st Pl,160
2755 NW Pine Cone Dr,161
2815 SW 107th St,162
6009 52nd Ave NE,163
3922 SW Henderson St,164
5631 17th Ave SW,165
14876 Juanita Woodinville Way NE,166
8652 17th Ave SW,167
18305 Dayton Ave N,168
1415 168th Ave NE,169
19007 80th Ave NE,170
17435 SE 47th St,171
23024-23198 17th Ave S,172
32000-32072 NE 55th St,173
17253 Ambaum Blvd S,174
8409 NE 129th Pl,175
25434 160th Ave SE,176
18048 3rd Ave NW,177
15007 75th Ave NE,178
5424 NE 10th St,179
207 NW 5th St,180
100 24th Ave E,181
11853 SE 176th Ct,182
12633 NE 133rd Pl,183
15607 SE 42nd Ct,184
7422 NE 163rd St,185
1708 NW 96th St,186
33945 28th Pl SW,187
16020 SE 2nd St,188
24507 NE 77th Pl,189
32827 22nd Ave SW,190
415 NE 94th St,191
2214 W Halladay St,192
2560 39th Ave W,193
12525 458th Ave SE,194
920 221st Ave NE,195
9041 NE 160th Pl,196
16022 SE 43rd St,197
24201 SE 1st Pl,198
13714 Ashworth Ave N,199
22344 NE 31st St,200
5650 NE 55th St,201
17649 NE 129th Pl,202
3250 165th Ave SE,203
21603 NE 29th St,204
4711 University View Pl NE,205
14707 SE 84th St,206
31607-31633 44th Ave S,207
12116 SE 71st Pl,208
15418 216th Ave NE,209
1703 NW 200th Ln,210
3230 NE 95th St,211
7434 Winona Ave N,212
5215 32nd Ave S,213
4206 SE Newport Way,214
30020 43rd Pl S,215
720 N 80th St,216
8300 SE 82nd St,217
31966 36th Ave SW,218
2112 N 50th St,219
2516 Yale Ave E,220
1003 SW 307th St,221
135 25th Ave E,222
3665 Renton Ave S,223
7000 23rd Ave NW,224
710 S 23rd St,225
8846 Midvale Ave N,226
1435 104th Ave SE,227
16775 NE 86th Ct,228
1749 NW 60th St,229
105 SW 129th St,230
5628 NE 59th St,231
1028 NE 153rd Ct,232
25823 NE 30th Ct,233
25502 Kanasket Dr,234
9626 NE 129th Pl,235
21326 SE 277th Pl,236
14613 6th Ave SW,237
19313 140th Pl SE,238
2806 13th Ave W,239
25339 SE 248th St,240
8809 Densmore Ave N,241
10627 NE 45th St,242
16635 SE 268th St,243
19654 116th Ave SE,244
5003 159th Ct NE,245
4 128th Ave SE,246
3845 Whitman Ave N,247
32223 NE 88th St,248
15204 88th Ave NE,249
624 SW 137th St,250
29645 10th Pl S,251
1230 Warren Ave N,252
1713 22nd Ave S,253
33331 NE Lake Joy Rd,254
9703 130th Ave NE,255
234 W Lake Sammamish Pkwy SE,256
4140 53rd Ave SW,257
206 Oakesdale Ave SW,258
5531 Seward Park Ave S,259
232 SW 154th St,260
11105 126th Ave NE,261
18611 SE 307th Ln,262
25525 SE 133rd St,263
331 22nd Ave E,264
4602 Woodlawn Ave N,265
3723 S Chicago St,266
12921 79th Pl NE,267
232nd Way,268
6253-6299 15th Ave NE,269
1718 N 175th St,270
1225 N 41st Pl,271
12809-12907 206th Ave NE,272
9724 NE 14th St,273
6708 14th Ave NW,274
1902 45th Ave SW,275
1234 22nd Ave E,276
32631 39th Ave SW,277
4421-4564 186th Ave SE,278
1200 N 27th Pl,279
4313 SW Willow St,280
1761 17th Ave S,281
3301-3389 289th Ave NE,282
19501 135th Ave SE,283
903 22nd Ave E,284
3529 W Howe St,285
20821 SE 135th St,286
11907 SE 261st Pl,287
18227 SE 135th St,288
5902 37th Ave SW,289
138 Seattle Blvd S,290
15007-15299 37th Ave NE,291
18911 NE 165th Pl,292
5146 S 303rd Pl,293
3827 39th Ave S,294
4703-4707 4th Ave NE,295
1010 NW Inneswood Dr,296
517 32nd Ave S,297
733 1st Ave N,298
32016 8th Ave S,299
27000-27080 201st Ave SE,300
8514 S 124th St,301
19302 65th Pl NE,302
2145 Condon Way W,303
605 N 178th St,304
25408 Lake Wilderness Country Club Dr SE,305
3235 30th Ave W,306
13248 Occidental Ave S,307
11304 Corliss Ave N,308
11017 101st Pl NE,309
10908 101st Pl NE,310
3631 Greenwood Ave N,311
31898 50th Pl S,312
7956 46th Ave S,313
12303 Sand Point Way NE,314
513 N 46th St,315
2814 13th Ave W,316
27930 NE 147th Pl,317
7401 92nd Pl SE,318
30633 21st Ave SW,319
544 NE 84th St,320
1825 251st Pl SE,321
5200-5298 90th Ave SE,322
3612 Interlake Ave N,323
434 Pullman Ave,324
1669 28th Ave NE,325
235 Thelma St,326
12207 NE 139th Pl,327
8448 Delridge Way SW,328
624 Lake Washington Blvd E,329
23733 NE Salal Pl,330
24345 35th Pl S,331
14816 SE 278th St,332
27469-27501 SE 154th Pl,333
4022 SW Walker St,334
28123 123rd Pl SE,335
15020 SE 281st St,336
17622 12th Ave SW,337
2509 33rd Ave S,338
7304 217th Pl NE,339
11921 SE 205th St,340
8230 Corliss Ave N,341
12612 23rd Ave S,342
3002 109th Ave SE,343
13711 SE 251 Pl,344
18748 SE 330th St,345
1914 S 375th St,346
14317 22nd Ave NE,347
468 Scenic Way,348
4305 S Webster St,349
1816 26th Ave,350
1031 272nd Pl SE,351
5933 S Eastwood Dr,352
13221 3rd Ave NW,353
5524 161st Pl NE,354
3220 170th Ave NE,355
806 15th Ave E,356
2561 3rd Ave W,357
13812 196th Ave NE,358
9842 Vineyard Crest,359
1012 N 42nd Pl,360
8013 20th Ave NE,361
13611 Bear Creek Rd NE,362
1237 S Sullivan St,363
12227 47th Ave S,364
17128 NE 92nd St,365
365 Halladay St,366
10621 NE 107th Pl,367
2121 46th Ave SW,368
32817 10th Pl SW,369
17109 139th Pl SE,370
168 S 192nd Pl,371
15451 22nd Ave SW,372
8565 E Mercer Way,373
9202A Interlake Ave N,374
36521 SE 94th St,375
15917 NE 109th Way,376
322 9th Ave N,377
4714 Thackeray Pl NE,378
4924 SE 2nd Pl,379
744 N 83rd St,380
2973-3563 SW 172nd St,381
4010 Linden Ave N,382
1417 4th Ave W,383
2113 15th Ave S,384
7630 Todd Pl,385
743 N 71st St,386
2050 14th Ave W,387
19505 NE 143rd St,388
14513-14521 164th Pl SE,389
2411 Meadow Ave N,390
19490 SE 57th Pl,391
7021 24th Ave NW,392
31714 125th Pl SE,393
15407 SE 252nd Pl,394
29805-29821 129th Pl SW,395
19707 NE 181st St,396
3005 211th Ave NE,397
33134 3rd Ct SW,398
629-899 Cedar Ave S,399
3809 260th Ave SE,400
4205 NE 169th Ct,401
12727 2nd Ave SW,402
2211 20th Ave S,403
East Lake Sammamish Trail,404
10614 57th Ave S,405
4609-4699 Preston-Fall City Rd SE,406
206-458 Lingering Pine Dr NW,407
6255 4th Ave NW,408
7418 Dogwood Ln SE,409
14320 84th Ave NE,410
13532 15th Pl NE,411
17814 161st Ave SE,412
9507 Ashworth Ave N,413
13615 Somerset Ln SE,414
3331 S 368th Pl,415
32704 33rd Ave SW,416
13905 184th Ave NE,417
4127 Fauntleroy Way SW,418
429 Milwaukee Blvd S,419
23801 SE 162nd St,420
15217 80th Ave NE,421
401 31st Ave E,422
1614 32nd Ave,423
3319 S 262nd St,424
18616 215th Way NE,425
21423 114th Pl SE,426
9828 159th Pl NE,427
2655 166th Ave SE,428
9921 227th Way NE,429
3026 S Star Lake Rd,430
3502 Morris Ave S,431
1211 NE 135th St,432
400-498 211th Pl NE,433
439 SW 156th St,434
18730-18798 109 Ln SE,435
16828 166th Pl SE,436
7701 16th Ave NW,437
21612 SE 290th Ct,438
445 Meadow Dr SE,439
11110 NE 38th Pl,440
26621 SE 22nd Way,441
2084-2104 144th Ave SE,442
21630-21648 NE 67th St,443
29606 SE 286 St,444
31701-31799 SE 291st St,445
819 NE 125th St,446
29612 2nd Ave SW,447
33030 NE 201st St,448
21227 SE 278th Way,449
108-150 Union Ave SE,450
8608 N Mercer Way,451
9610 8th Ave NE,452
15610 NE 159th St,453
1721 NE 98th St,454
11131 SE 183rd Pl,455
2653 46th Ave SW,456
19226 76th Pl NE,457
10312 Linden Ave N,458
9245-9249 Fremont Ave N,459
33001 NE 24th St,460
7070 270th Pl SE,461
820 NW 95th St,462
10834 31st Ave SW,463
Cedar to Green River Trail,464
6521 Fremont Ave N,465
9908 S 210th Pl,466
5940 California Ave SW,467
906 17th Ave,468
5411 Fauntleroy Way SW,469
25005 NE Patterson Way,470
3503 NE 43rd St,471
2500 Mulberry Walk NE,472
9155 NE 21st Pl,473
106 24th Ave E,474
17050 14th Avenue Northeast,475
9413 34th Ave SW,476
3603 W Mercer Way,477
19211 SE 342nd St,478
3709 131st Ave NE,479
3017 SW Hinds St,480
1216 86th Ave NE,481
4436-4446 W Mercer Way,482
31907 NE 139th St,483
4430 Letitia Ave S,484
16512 SE 64th Pl,485
9214 Cyrus Ave NW,486
2346 N 59th St,487
5537 S 119th St,488
21709 SE 255th Pl,489
7953 14th Ave SW,490
5220 SW Pritchard St,491
16411 120th Ave SE,492
215 243rd Ave SE,493
20325 NE 198th St,494
2420 Dogwood St SE,495
17217 Woodside Dr SE,496
5145 S Roxbury St,497
11725 NE 102nd Pl,498
1614 33rd Ave,499
1733 NE 88th St,500
11461-11577 172nd Ave NE,501
1047-1099 S 130th St,502
11618 NE 65th St,503
8223 SE 71st St,504
9202 SE 46th St,505
26405 218th Ave SE,506
5900 20th Ave NW,507
30928 148th Ave SE,508
23549 NE 111th St,509
4410 Burke Ave N,510
20248 20th Ave NE,511
24127 SE 45th Pl,512
570 Wilderness Peak Dr NW,513
11521 22nd Ave NE,514
414 14th Ave,515
13222 NE 193rd Pl,516
Indian Trail,517
29621 18th Ave S,518
9319 45th Ave SW,519
8107 165th Ave NE,520
124 SW 185th St,521
124 NE 61st St,522
731 McGilvra Blvd E,523
9640 NE 32nd St,524
2455 Queen Anne Ave N,525
13730 2nd Ave NW,526
9311 NE 142nd St,527
19693-19799 SE Maple Valley Hwy,528
16580 SE 57th Pl,529
16251 12th Ave SW,530
618 NW 49th St,531
950 NW 60th St,532
8434 W Mercer Way,533
23014 Vashon Hwy SW,534
3219 34th Ave W,535
10442 SE 13th St,536
5650 Fauntleroy Way SW,537
1716 California Ave SW,538
7815 Stroud Ave N,539
10774 155th Pl NE,540
22442-22446 Southeast 281st Court,541
1313 4th St,542
18416 172nd Ct SE,543
8082-8160 142nd Ave NE,544
512-598 21st Ave,545
2476 239th Pl NE,546
18125 194th Ave NE,547
2065 NE Nelson Ln,548
15801 63rd Ave NE,549
2831 SW 327th St,550
23726 NE 134th Pl,551
19293 Stone Ave N,552
4018 NE 6th Ct,553
25523 123rd Pl SE,554
7349 24th Ave NW,555
18913 SE 63rd Pl,556
2448 137th Ave SE,557
1020 163rd Ave SE,558
8028 27th Ave NE,559
7408 138th Pl NE,560
10412 Aqua Way S,561
4958 12th Ave S,562
9045 NE 40th Pl,563
1405 E Maple St,564
27020 NE Ring St,565
420 Boylston Ave E,566
36400-36452 51st Ave S,567
1600-1608 25th Ave,568
18307 NE 19th Pl,569
16700 SE 161st St,570
5461 S Othello St,571
171 Lake Washington Blvd,572
4812 S Chicago St,573
718 N 95th St,574
1673 Rosemont Blvd,575
14700 Burke Ave N,576
27747 SE 24th Way,577
10711 SW 111th Pl,578
19615 182nd Ave NE,579
4437 55th Ave NE,580
7325 Earl Ave NW,581
4030-4198 S 186th St,582
12446 21st Ave S,583
12033 NE 136th Pl,584
13540 Burke Ave N,585
4115 SW 106th St,586
14710 122nd Pl NE,587
3883 112th Ave NE,588
11409 SE 71st Pl,589
4902 159th Pl SE,590
8421 SE 72nd Pl,591
18015 25th Ave NE,592
324 NW 48th St,593
2830 177th Ave NE,594
6101-6149 Corliss Ave N,595
1707-1713 3rd Ave N,596
2301 California Ave SW,597
17081-17183 SE Wax Rd,598
2711 126th Ave SE,599
15018 NE 10th Pl,600
16541 NE 27th Pl,601
8126-8196 Forest Ave SE,602
16014 16th Ave SW,603
217 SW 191st St,604
2278 72nd Ave SE,605
6206 Phinney Ave N,606
16722 32nd Pl NE,607
4118 32nd Ave SW,608
4222 S 288th Pl,609
9250 SE 36th Pl,610
29140 42nd Ave S,611
15846 196th Pl NE,612
14405 274th Ct NE,613
7741 22nd Ave NE,614
3616 NE 65th St,615
7125 Silent Creek Ave SE,616
7617 NE 201st Pl,617
12467 NE 171st Pl,618
213 26th Ave E,619
9314 Ash Ave SE,620
7921 45th Ave SW,621
615 NW 92nd St,622
5138 NE 8th St,623
6544 18th Ave SW,624
10037 Interlake Ave N,625
353 N 105th St,626
7730 33rd Ave NW,627
3446 77th Ave SE,628
3810 145th Ave SE,629
1109 32nd Ave,630
7558 32nd Ave NW,631
921 S 223rd St,632
28511 10th Ave S,633
14319 165th Pl SE,634
721 222nd Pl NE,635
404 SW 197th St,636
475-547 Monroe Ave NE,637
26205 119th Dr SE,638
200 Pike St SE,639
11549 SE 319th Pl,640
4607 SW Cloverdale St,641
6000-6048 22nd Ave S,642
4254 33rd Ave W,643
8622 NE 139th St,644
2901 W Elmore St,645
18527 Kenlake Pl NE,646
6917 28th Ave NW,647
316 Lake Washington Blvd S,648
21560 SE 275th Ct,649
2145 N 88th St,650
13547 SE 83rd St,651
2363 30th Ave NE,652
15905 Saybrook Dr NE,653
322 16th Ave,654
11909 SE 228th Pl,655
14836 Densmore Ave N,656
7557 35th Ave NE,657
16501-16515 Carlyle Hall Rd N,658
8715 17th Ave NW,659
1522 55th Ct SE,660
1807 17th Ave S,661
5242 336th Ave SE,662
27204 116th Pl SE,663
1456 NW 185th St,664
33610 51st Ave S,665
920 163rd Ave SE,666
1400 S 359th St,667
14800-14822 88th Ave NE,668
30004 SE Lake Retreat S Dr,669
